ground_truth,FileName,SPLIT,SSL_SPLIT
52,3737_RogerAllam_52_m.jpg,VAL,EXCLUDE
40,12444_AngieDickinson_40_f.jpg,TRAIN,EXCLUDE
31,6675_PeterGraves_31_m.jpg,TRAIN,EXCLUDE
28,10403_BarbaraBain_28_f.jpg,VAL,EXCLUDE
79,8871_CharltonHeaston_79_m.jpg,TRAIN,EXCLUDE
44,2584_GeneWilder_44_m.jpg,TEST,EXCLUDE
80,6207_DickieMoore_80_m.jpg,VAL,EXCLUDE
60,15515_JeanetteMacDonald_60_f.jpg,TRAIN,EXCLUDE
84,7664_TonyCurtis_84_m.jpg,TRAIN,EXCLUDE
71,5581_PatrickStewart_71_m.jpg,TRAIN,LABELED
53,15609_KateOMara_53_f.jpg,TRAIN,EXCLUDE
42,13421_DanielleDarrieux_42_f.jpg,TEST,EXCLUDE
53,12963_CatherineDeneuve_53_f.jpg,TRAIN,EXCLUDE
69,5243_DavidMcCallum_69_m.jpg,TRAIN,EXCLUDE
14,3483_MarisaPavan_14_m.jpg,TRAIN,EXCLUDE
61,2478_ClaudeRich_61_m.jpg,TRAIN,EXCLUDE
40,251_TheodorakisMikis_40_m.jpg,TRAIN,EXCLUDE
71,2344_AbeVigoda_71_m.jpg,VAL,EXCLUDE
40,4655_JeffGoldblum_40_m.jpg,TRAIN,EXCLUDE
67,3656_OmarSharif_67_m.jpg,TRAIN,EXCLUDE
73,12047_DebbieReynolds_73_f.jpg,TRAIN,EXCLUDE
62,3125_ChuckNorris_62_m.jpg,TEST,EXCLUDE
39,12659_IsabelleHuppert_39_f.jpg,TRAIN,EXCLUDE
34,14898_KatharineHepburn_34_f.jpg,TRAIN,EXCLUDE
38,15541_JulieBishop_38_f.jpg,TRAIN,EXCLUDE
30,14278_JoanCrawford_30_f.jpg,VAL,EXCLUDE
65,4772_MichelPiccoli_65_m.jpg,TRAIN,EXCLUDE
76,5796_BenGazzara_76_m.jpg,TEST,EXCLUDE
67,7558_RobertMorley_67_m.jpg,VAL,EXCLUDE
37,14372_LorettaYoung_37_f.jpg,TRAIN,EXCLUDE
32,14434_OliviadeHavilland_32_f.jpg,VAL,EXCLUDE
39,14723_MarleneDietrich_39_f.jpg,VAL,EXCLUDE
51,8592_DavidCarradine_51_m.jpg,TRAIN,EXCLUDE
70,5912_HowardKeel_70_m.jpg,TRAIN,EXCLUDE
62,1104_CharlesDarwin_62_m.jpg,TRAIN,EXCLUDE
35,13192_MichellePfeiffer_35_f.jpg,TRAIN,EXCLUDE
30,5347_JohnDerek_30_m.jpg,TRAIN,EXCLUDE
80,7241_JosephCotten_80_m.jpg,VAL,EXCLUDE
49,15605_KateOMara_49_f.jpg,TRAIN,EXCLUDE
59,7332_LinoVentura_59_m.jpg,TRAIN,EXCLUDE
96,1301_RitaLeviMontalcini_96_f.jpg,TRAIN,EXCLUDE
38,14962_AmandaBlake_38_f.jpg,TRAIN,EXCLUDE
24,16411_Ross_24_f.jpg,TRAIN,EXCLUDE
29,92_PaulAnka_29_m.jpg,TRAIN,EXCLUDE
57,10206_JulieAdams_57_f.jpg,TRAIN,EXCLUDE
57,5933_JackLarson_57_m.jpg,TRAIN,LABELED
47,15505_JeanetteMacDonald_47_f.jpg,TRAIN,EXCLUDE
44,16425_Turner_44_f.jpg,TRAIN,EXCLUDE
29,15251_DyanCannon_29_f.jpg,VAL,EXCLUDE
26,12254_JoanneWoodward_26_f.jpg,TRAIN,EXCLUDE
60,14135_SusannahYork_60_f.jpg,TRAIN,LABELED
41,2059_JonVoight_41_m.jpg,TRAIN,LABELED
59,8740_RichardAttenborough_59_m.jpg,TEST,EXCLUDE
38,2722_KevinBacon_38_m.jpg,TRAIN,EXCLUDE
48,7142_JeanPaulBelmondo_48_m.jpg,TRAIN,EXCLUDE
66,2482_ClaudeRich_66_m.jpg,TEST,EXCLUDE
28,11119_JuneLockhart_28_f.jpg,TRAIN,EXCLUDE
31,14063_JudyHolliday_31_f.jpg,TEST,EXCLUDE
36,6583_LexBarker_36_m.jpg,TRAIN,EXCLUDE
75,1163_AlbertSchweitzer_75_m.jpg,TRAIN,EXCLUDE
24,9236_VittorioGassman_24_m.jpg,VAL,EXCLUDE
21,8517_CharlesBronson_21_m.jpg,TRAIN,EXCLUDE
24,10721_MaggieSmith_24_f.jpg,TRAIN,EXCLUDE
29,15465_JeanetteMacDonald_29_f.jpg,TRAIN,LABELED
82,613_Gorbachev_82_m.jpg,TRAIN,EXCLUDE
66,690_GeorgeHWBush_66_m.jpg,TEST,EXCLUDE
59,15652_KatharineRoss_59_f.jpg,VAL,EXCLUDE
16,9565_MarcelloMastroianni_16_m.jpg,VAL,EXCLUDE
32,11050_JeanneMoreau_32_f.jpg,TRAIN,EXCLUDE
30,7750_AlbertoSordi_30_m.jpg,TRAIN,EXCLUDE
31,13275_AmandaRedman_31_f.jpg,TRAIN,EXCLUDE
72,878_WinstonChurchill_72_m.jpg,TRAIN,EXCLUDE
61,10876_SusanGeorge_61_f.jpg,TRAIN,EXCLUDE
34,6601_LouCostello_34_m.jpg,TEST,EXCLUDE
59,10523_FayeDunaway_59_f.jpg,TRAIN,EXCLUDE
26,3976_BurtReynolds_26_m.jpg,TRAIN,EXCLUDE
34,3164_DerekJacobi_34_m.jpg,TRAIN,EXCLUDE
30,6437_JoanLorring_30_m.jpg,TRAIN,EXCLUDE
45,13601_JeanPeters_45_f.jpg,TRAIN,EXCLUDE
34,8168_PatrickSwayze_34_m.jpg,TRAIN,LABELED
31,7713_VincentPrice_31_m.jpg,TRAIN,EXCLUDE
68,8011_GiulianoGemma_68_m.jpg,TRAIN,EXCLUDE
44,4657_JeffGoldblum_44_m.jpg,TRAIN,EXCLUDE
43,4358_RalphMacchio_43_m.jpg,TRAIN,EXCLUDE
64,8060_HorstBuchholz_64_m.jpg,TRAIN,EXCLUDE
35,15955_MartinLutherKing_35_m.jpg,TRAIN,EXCLUDE
34,8751_AlecGuinness_34_m.jpg,TRAIN,EXCLUDE
51,8648_JamesStewart_51_m.jpg,TRAIN,LABELED
64,1961_JamesBest_64_m.jpg,TRAIN,EXCLUDE
46,13659_JuneAllyson_46_f.jpg,TRAIN,EXCLUDE
37,15717_MargaretNolan_37_f.jpg,TRAIN,EXCLUDE
36,10566_KathrynHays_36_f.jpg,TRAIN,EXCLUDE
51,16318_Davis_51_f.jpg,VAL,EXCLUDE
72,16044_MorganFreeman _72_m.jpg,TEST,EXCLUDE
65,10824_PeggyLipton_65_f.jpg,TRAIN,EXCLUDE
63,3861_SteveKanaly_63_m.jpg,VAL,EXCLUDE
58,9735_DorisDay_58_f.jpg,VAL,EXCLUDE
45,6307_FernandoRey_45_m.jpg,TRAIN,EXCLUDE
51,9731_DorisDay_51_f.jpg,TRAIN,EXCLUDE
52,11002_EllenBurstyn_52_f.jpg,TEST,EXCLUDE
33,14370_LorettaYoung_33_f.jpg,TRAIN,EXCLUDE
43,13219_RoyScheider_43_f.jpg,TRAIN,EXCLUDE
45,8539_CharlieChaplin_45_m.jpg,TRAIN,EXCLUDE
64,3879_SteveMartin_64_m.jpg,TRAIN,EXCLUDE
54,6464_JohnVernon_54_m.jpg,TRAIN,EXCLUDE
20,329_LarryEllison_20_m.jpg,TRAIN,EXCLUDE
27,10504_FayeDunaway_27_f.jpg,TRAIN,EXCLUDE
34,6842_ThomasTerry_34_m.jpg,TRAIN,EXCLUDE
22,10272_MarietteHartley_22_f.jpg,TEST,EXCLUDE
86,13137_JaneRussell_86_f.jpg,TRAIN,EXCLUDE
64,14137_SusannahYork_64_f.jpg,TRAIN,EXCLUDE
76,475_JWMarriott_76_m.jpg,TRAIN,EXCLUDE
67,4430_RobertPowell_67_m.jpg,TRAIN,EXCLUDE
23,16055_WillSmith _23_m.jpg,TRAIN,EXCLUDE
34,4932_StevenBerkoff_34_m.jpg,TEST,EXCLUDE
27,7746_AlbertoSordi_27_m.jpg,TRAIN,EXCLUDE
55,982_Einstain_55_m.jpg,TRAIN,EXCLUDE
60,3617_MikeConnors_60_m.jpg,TRAIN,EXCLUDE
58,5506_MichaelKeaton_58_m.jpg,VAL,EXCLUDE
89,16336_Dee_89_f.jpg,TRAIN,EXCLUDE
50,1478_CarlMarx_50_m.jpg,TRAIN,EXCLUDE
53,8482_WilliamHolden_53_m.jpg,TRAIN,EXCLUDE
33,5322_JackLemon_33_m.jpg,TRAIN,EXCLUDE
23,12088_EvaMarieSaint_23_f.jpg,TRAIN,EXCLUDE
36,5666_RayDanton_36_m.jpg,TRAIN,EXCLUDE
48,15317_EdwigeFenech_48_f.jpg,TRAIN,EXCLUDE
55,1339_Soljenitsyne_55_m.jpg,VAL,EXCLUDE
41,12636_HedyLamarr_41_f.jpg,TRAIN,EXCLUDE
30,14005_GloriaSwanson_30_f.jpg,TEST,EXCLUDE
21,14242_JanetGaynor_21_f.jpg,TRAIN,EXCLUDE
21,3637_OmarSharif_21_m.jpg,TRAIN,EXCLUDE
23,15924_VeronicaLake_23_f.jpg,TRAIN,LABELED
18,13756_RitaHayworth_18_f.jpg,TEST,EXCLUDE
50,1709_EdHarris_50_m.jpg,TRAIN,EXCLUDE
52,7553_RobertMorley_52_m.jpg,TRAIN,EXCLUDE
76,11297_SophiaLoren_76_f.jpg,TEST,EXCLUDE
55,14968_AmandaBlake_55_f.jpg,TRAIN,EXCLUDE
54,4909_RomanPolanski_54_m.jpg,TRAIN,EXCLUDE
29,1984_JamesCaan_29_m.jpg,TRAIN,EXCLUDE
56,12834_MaryTylerMoore_56_f.jpg,TRAIN,EXCLUDE
60,6078_WilliamShatner_60_m.jpg,TRAIN,EXCLUDE
18,915_TheodoreRoosevelt_18_m.jpg,TRAIN,EXCLUDE
25,14529_AudreyHepburn_25_f.jpg,TRAIN,EXCLUDE
39,7091_Garycooper_39_m.jpg,TRAIN,EXCLUDE
44,8053_HorstBuchholz_44_m.jpg,VAL,EXCLUDE
34,15946_MartinLutherKing_34_m.jpg,VAL,EXCLUDE
64,10548_JoanCollins_64_f.jpg,TEST,EXCLUDE
33,11500_JulieAndrews_33_f.jpg,TRAIN,EXCLUDE
30,12853_MylКneDemongeot_30_f.jpg,TRAIN,EXCLUDE
50,10203_JulieAdams_50_f.jpg,TRAIN,LABELED
40,4872_RogerMoore_40_m.jpg,TRAIN,EXCLUDE
55,781_AdolfHitlerr_55_m.jpg,VAL,EXCLUDE
57,2109_MelBrooks_57_m.jpg,TRAIN,EXCLUDE
50,1787_TomHanks_50_m.jpg,TRAIN,EXCLUDE
33,13847_AnneBancroft_33_f.jpg,TRAIN,EXCLUDE
42,13162_JaneWyman_42_f.jpg,TRAIN,EXCLUDE
25,835_HarrySTruman_25_m.jpg,TRAIN,EXCLUDE
11,12938_CatherineDeneuve_11_f.jpg,TEST,EXCLUDE
33,10535_JoanCollins_33_f.jpg,TRAIN,EXCLUDE
29,1514_YannisRitsos_29_m.jpg,VAL,EXCLUDE
31,6283_ErrolFlynn_31_m.jpg,TRAIN,EXCLUDE
77,14476_PeggyAshcroft_77_f.jpg,TRAIN,EXCLUDE
57,8332_RichardCrenna_57_m.jpg,TEST,EXCLUDE
68,5911_HowardKeel_68_m.jpg,TRAIN,EXCLUDE
60,7259_KrisKristofferson_60_m.jpg,TRAIN,EXCLUDE
45,3931_TommySands_45_m.jpg,TEST,EXCLUDE
71,10130_JaneFonda_71_f.jpg,TRAIN,EXCLUDE
83,7661_TonyCurtis_83_m.jpg,TEST,EXCLUDE
47,10292_MarietteHartley_47_f.jpg,TRAIN,EXCLUDE
45,8396_SpencerTracy_45_m.jpg,VAL,EXCLUDE
21,11243_ShirleyJones_21_f.jpg,TRAIN,EXCLUDE
52,6184_DenzelWashington_52_m.jpg,TRAIN,EXCLUDE
35,585_QueenElizabet_35_f.jpg,TRAIN,EXCLUDE
68,4946_StevenBerkoff_68_m.jpg,TRAIN,EXCLUDE
75,10434_BarbaraBain_75_f.jpg,TRAIN,EXCLUDE
93,7444_MickeyRooney_93_m.jpg,TRAIN,LABELED
25,3559_MichaelYork_25_m.jpg,TEST,EXCLUDE
83,16452_Tyson_83_f.jpg,VAL,EXCLUDE
26,10800_PeggyLipton_26_f.jpg,TRAIN,EXCLUDE
40,6607_LouCostello_40_m.jpg,VAL,EXCLUDE
74,5939_JackLarson_74_m.jpg,TRAIN,EXCLUDE
76,12899_RuthGordon_76_f.jpg,TRAIN,EXCLUDE
72,16203_BillCosby_72_m.jpg,TRAIN,EXCLUDE
39,6586_LexBarker_39_m.jpg,TRAIN,EXCLUDE
61,4331_MichaelPalin_61_m.jpg,TRAIN,EXCLUDE
25,15042_BettyGarrett_25_f.jpg,VAL,EXCLUDE
45,15683_KathrynGrayson_45_f.jpg,TRAIN,EXCLUDE
41,10387_AnnMargret_41_f.jpg,TRAIN,EXCLUDE
55,8152_LorneGreene_55_m.jpg,TRAIN,EXCLUDE
23,15333_ErinGray_23_f.jpg,TRAIN,EXCLUDE
66,9262_VittorioGassman_66_m.jpg,TEST,EXCLUDE
32,2674_JohnCleese_32_m.jpg,TEST,EXCLUDE
61,8255_ReginaldOwen_61_m.jpg,TRAIN,EXCLUDE
34,6581_LexBarker_34_m.jpg,VAL,EXCLUDE
38,3359_JeffDaniels_38_m.jpg,TEST,EXCLUDE
30,15117_CatherineSchell_30_f.jpg,TEST,EXCLUDE
37,14987_AnnJillian_37_f.jpg,TRAIN,EXCLUDE
21,12552_AlikiBoug_21_f.jpg,TRAIN,EXCLUDE
74,6113_CaryGrant_74_m.jpg,TEST,EXCLUDE
37,5228_DavidMcCallum_37_m.jpg,TRAIN,EXCLUDE
49,7800_AndyGriffith_49_m.jpg,TRAIN,EXCLUDE
25,12877_RuthGordon_25_f.jpg,TRAIN,EXCLUDE
59,13508_GladysCooper_59_f.jpg,VAL,EXCLUDE
52,3652_OmarSharif_52_m.jpg,TRAIN,EXCLUDE
37,14842_SimoneSignoret_37_f.jpg,TRAIN,EXCLUDE
61,11836_AnjelicaHuston_61_f.jpg,TRAIN,EXCLUDE
17,205_ElvisPresley_17_m.jpg,TEST,EXCLUDE
68,11012_EllenBurstyn_68_f.jpg,TRAIN,EXCLUDE
28,12983_ClaudiaCardinale_28_f.jpg,TRAIN,EXCLUDE
75,636_mitsotakis_75_m.jpg,VAL,EXCLUDE
82,7821_AndyGriffith_82_m.jpg,TRAIN,EXCLUDE
61,7018_ChristopherWalken_61_m.jpg,TRAIN,EXCLUDE
29,9385_SteveMcQueen_29_m.jpg,TEST,EXCLUDE
65,4110_DickVanDyke_65_m.jpg,TRAIN,EXCLUDE
37,1540_Bono_37_m.jpg,TRAIN,EXCLUDE
66,8296_RichardChamberlain_66_m.jpg,TRAIN,EXCLUDE
56,10790_OrnellaMuti_56_f.jpg,TRAIN,EXCLUDE
39,13391_CelesteHolm_39_f.jpg,TRAIN,EXCLUDE
53,5358_JohnDerek_53_m.jpg,TRAIN,EXCLUDE
31,15534_JulieBishop_31_f.jpg,TRAIN,EXCLUDE
30,112_MickJagger_30_m.jpg,TRAIN,EXCLUDE
32,7985_GiulianoGemma_32_m.jpg,TRAIN,EXCLUDE
33,15181_CydCharisse_33_f.jpg,VAL,EXCLUDE
22,145_PaulmcCartney_22_m.jpg,TRAIN,EXCLUDE
60,932_FranklinDRoosevelt_60_m.jpg,TRAIN,EXCLUDE
43,12661_IsabelleHuppert_43_f.jpg,TRAIN,EXCLUDE
61,4515_CarlosSantana_61_m.jpg,TRAIN,LABELED
41,11193_MonicaVitti_41_f.jpg,TEST,EXCLUDE
43,8834_ArnoldSchwarzenegger_43_m.jpg,TEST,EXCLUDE
48,4975_TimothyDalton_48_m.jpg,TRAIN,EXCLUDE
34,6550_LeeJCobb_34_m.jpg,VAL,EXCLUDE
44,1779_TomHanks_44_m.jpg,TRAIN,EXCLUDE
45,2663_JerryLewis_45_m.jpg,TRAIN,EXCLUDE
21,11502_JulieChristie_21_f.jpg,TRAIN,EXCLUDE
56,11936_CatherineSpaak_56_f.jpg,TRAIN,EXCLUDE
46,13951_DeborahKerr_46_f.jpg,TRAIN,EXCLUDE
41,6285_ErrolFlynn_41_m.jpg,TRAIN,EXCLUDE
34,6448_JohnVernon_34_m.jpg,TRAIN,EXCLUDE
36,13203_MichellePfeiffer_36_f.jpg,TRAIN,EXCLUDE
69,336_LarryEllison_69_m.jpg,VAL,EXCLUDE
64,15034_AnnMiller_64_f.jpg,TRAIN,EXCLUDE
46,4042_CharlieSheen_46_m.jpg,TRAIN,EXCLUDE
63,4501_CarlosSantana_63_m.jpg,TRAIN,EXCLUDE
46,7008_ChristopherWalken_46_m.jpg,TRAIN,EXCLUDE
34,5664_RayDanton_34_m.jpg,TRAIN,EXCLUDE
46,3608_MikeConnors_46_m.jpg,TRAIN,EXCLUDE
34,10904_Arletty_34_f.jpg,TRAIN,EXCLUDE
39,7792_AndyGriffith_39_m.jpg,TRAIN,EXCLUDE
36,10198_JulieAdams_36_f.jpg,TRAIN,EXCLUDE
14,13404_DanielleDarrieux_14_f.jpg,TRAIN,LABELED
32,14_MariaCallas_32_f.jpg,TRAIN,EXCLUDE
80,6696_PeterGraves_80_m.jpg,TRAIN,EXCLUDE
65,6977_CharlesBoyer_65_m.jpg,TRAIN,EXCLUDE
35,12168_GlendaJackson_35_f.jpg,TRAIN,EXCLUDE
27,6227_DirkBogarde_27_m.jpg,TRAIN,EXCLUDE
57,15612_KateOMara_57_f.jpg,TRAIN,EXCLUDE
53,15027_AnnMiller_53_f.jpg,TEST,EXCLUDE
64,3184_DerekJacobi_64_m.jpg,TEST,EXCLUDE
76,8089_JohnForsythe_76_m.jpg,VAL,EXCLUDE
53,4682_JohnTravolta_53_m.jpg,TEST,EXCLUDE
49,2470_ClaudeRich_49_m.jpg,TRAIN,EXCLUDE
45,5381_JohnMalkovich_45_m.jpg,TRAIN,EXCLUDE
19,13109_JaneRussell_19_f.jpg,TRAIN,EXCLUDE
66,2323_SamNeill_66_m.jpg,TRAIN,EXCLUDE
27,14229_IngridBergman_27_f.jpg,TRAIN,EXCLUDE
46,4293_KirkDouglas_46_m.jpg,TRAIN,EXCLUDE
29,4998_WarrenBeatty_29_m.jpg,VAL,EXCLUDE
32,8046_HorstBuchholz_32_m.jpg,TRAIN,EXCLUDE
81,11019_EllenBurstyn_81_f.jpg,TEST,EXCLUDE
35,16009_SerenaWilliams_35_f.jpg,TRAIN,EXCLUDE
30,1480_CarlMarx_30_m.jpg,TRAIN,EXCLUDE
24,11783_ValerieHarper_24_f.jpg,TRAIN,EXCLUDE
41,2037_JohnJames_41_m.jpg,VAL,EXCLUDE
53,3704_RingoStarr_53_m.jpg,TRAIN,EXCLUDE
39,4225_HelmutBerger_39_m.jpg,VAL,EXCLUDE
67,10893_TippiHedren_67_f.jpg,TRAIN,EXCLUDE
22,10641_LuiseRainer_22_f.jpg,TRAIN,EXCLUDE
37,10050_HelenHunt_37_f.jpg,TRAIN,EXCLUDE
34,7788_AndyGriffith_34_m.jpg,TRAIN,EXCLUDE
45,5440_KennethBranagh_45_m.jpg,TRAIN,EXCLUDE
24,6668_PeterGraves_24_m.jpg,TRAIN,EXCLUDE
